Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Search for resonant pair production of Higgs bosons decaying to two bottom quark-antiquark pairs in proton-proton collisions at 8 TeV,,,,,2015,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ","Search for supersymmetry in events with soft leptons, low jet multiplicity, and missing transverse energy in proton–proton collisions at√ s= 8 TeV",,,,,2016,
"Delaere, C; du Pree, T; Favart, D; Forthomme, L; Giammanco, A; Gregoire, G; Hollar, J; Lemaitre, V; Liao, J; Militaru, O; ",Search for a Higgs boson in the decay channel H-> ZZ ((*))-> q (q) over-barl (-) l (+) in pp collisions at root s= 7 TeV,,,,,2012,
"Basegmez, S; Beluffi, C; Bruno, G; Castello, R; Caudron, A; Ceard, L; Da Silveira, GG; Delaere, C; du Pree, T; Favart, D; ",Evidence for the 125 GeV Higgs boson decaying to a pair of tau leptons,,,,,2014,
"Du Pree, T; Favart, D; Forthomme, L; Giammanco, A; Hollar, J; Lemaitre, V; Liao, J; Militaru, O; Nuttens, C; Pagano, D; ",Search for new physics in events with same-sign dileptons and b-tagged jets in pp collisions at√ s= 7TeV,,,,,2012,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for pair-produced vectorlike B quarks in proton-proton collisions at s= 8 TeV,,,,,2016,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",A search for pair production of new light bosons decaying into muons,,,,,2016,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for neutral MSSM Higgs bosons decaying into a pair of bottom quarks,,,,,2015,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Outschoorn, VIM; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for the associated production of the Higgs boson with a top-quark pair,,,,,2014,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for invisible decays of Higgs bosons in the vector boson fusion and associated ZH production modes,,,,,2014,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Measurement of the Zγ production cross section in pp collisions at 8 TeV and search for anomalous triple gauge boson couplings,,,,,2015,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for single production of a heavy vector-like T quark decaying to a Higgs boson and a top quark with a lepton and jets in the final state,,,,,2017,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for a light charged Higgs boson decaying to (Formula presented.) in pp collisions at (Formula presented.) TeV,,,,,2015,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for a Higgs boson decaying into a Z and a photon in pp collisions at√ s= 7 and 8TeV,,,,,2013,
"Denegri, D; Pardo, PL; Ronchese, P; Azarkin, M; Chen, KH; Padhi, S; Sekaric, J; Walker, M; Khachatryan, V; Fabbro, B; ",Search for new resonances decaying via WZ to leptons in proton-proton collisions at root s= 8 TeV,PHYSICS LETTERS B,740,,83-104,2015,ELSEVIER SCIENCE BV
"Bruno, G; Castello, R; Caudron, A; Ceard, L; Da Silveira, GG; Delaere, C; du Pree, T; Favart, D; Forthomme, L; Giammanco, A; ",Search for the production of dark matter in association with top-quark pairs in the single-lepton final state in proton-proton collisions at root s= 8 TeV,,,,,2015,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Study of dijet events with large rapidity separation in proton-proton collisions at $$\sqrt {s} $$= 2.76 TeV,Journal of High Energy Physics,2022,3,1-46,2022,Springer Berlin Heidelberg
"Van Driessche, W; Yazgan, E; Zaganidis, N; Basegmez, S; Beluffi, C; Bondu, O; Brochet, S; Bruno, G; Caudron, A; Ceard, L; ",Measurements of t (t) over-bar charge asymmetry using dilepton final states in pp collisions at root s= 8 TeV,,,,,2016,
"Brochet, S; Bruno, G; Caputo, C; Caudron, A; David, P; De Visscher, S; Delaere, C; Delcourt, M; Francois, B; Giammanco, A; ",Search for additional neutral MSSM Higgs bosons in the tau tau final state in proton-proton collisions at root s= 13 TeV,,,,,2018,
"Karimaki, V; Peiffr, T; Tricomi, A; Khurshid, T; Mersi, S; Kyberd, P; Verzocchi, M; Zhang, J; Khachatryan, V; Kinnunen, R; ","Search for direct pair production of scalar top quarks in the single-and dilepton channels in proton-proton collisions at root S= 8 TeV (vol 07, 027, 2016)",JOURNAL OF HIGH ENERGY PHYSICS,2016,9,,2016,SPRINGER
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Search for supersymmetry in final states with two or three soft leptons and missing transverse momentum in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2022,4,1-58,2022,Springer Berlin Heidelberg
"Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Forward-backward asymmetry of Drell-Yan lepton pairs in pp collisions at [Formula: see text][Formula,"The European physical journal. C, Particles and fields",,,,2016,
"CMS HCAL collaboration; ",Tests of CMS hadron forward calorimeter upgrade readout box prototype,Journal of instrumentation,7,10,P10015,2012,IOP Publishing
"Fabbro, B; Feindt, M; Dosselli, U; Golubev, N; Weber, HA; Andrews, W; Fehling, D; Lath, A; Khachatryan, V; Faure, JL; ",Search for standard model production of four top quarks in the lepton plus jets channel in pp collisions at root S= 8 TeV,JOURNAL OF HIGH ENERGY PHYSICS,,11,,2014,SPRINGER
"Belforte, S; Candelise, Vieri; Casarsa, M; Gobbo, B; LA LICATA, Chiara; Marone, Matteo; Montanino, Damiana; Penzo, A; Schizzi, Andrea; Zanetti, A; ",Modification of jet shapes in PbPb collisions at sqrt (s_NN)= 2.76 TeV,PHYSICS LETTERS. SECTION B,730,,243-263,2014,
"Krätschmer, I; Kirschenmann, H; Schütze, P; Steinbrück, G; Gutsche, O; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Asilar, E; ",Charged-particle angular correlations in XeXe collisions at sNN= 5.44 TeV,,,,,2019,
"Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; ",Measurement of the differential inclusive B+ hadron cross sections in pp collisions at s= 13 TeV,,,,,2017,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ","Forward energy flow, central charged-particle multiplicities, and pseudorapidity gaps in W and Z boson events from pp collisions at√ s= 7 TeV",,,,,2012,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; ",Measurement and QCD analysis of double-differential inclusive jet cross sections in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2022,2,1-67,2022,Springer Berlin Heidelberg
,Observation of triple J/ψ meson production in proton-proton collisions,Nature physics,19,3,338-350,2023,Nature Publishing Group UK London
"Basegmez, Suzan; Beluffi, Camille; Bondu, Olivier; Brochet, Sébastien; Bruno, Giacomo; Castello, Roberto; Caudron, Adrien; Ceard, Ludivine; Da Silveira, Gustavo Gil; Delaere, Christophe; ",Limits on the Higgs boson lifetime and width from its decay to four charged leptons,"Physical review. D, Particles and fields",,,072010,2015,
"Klein, K; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",The phase-2 upgrade of the CMS tracker,,,,,2021,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Asilar, E; Bergauer, T; ",Search for top squark pair production in pp collisions at√ s= 13 TeV using single lepton events,,,,,2017,
"Pineda, AM; Kossov, M; Klyukhin, V; Caebergs, T; Forthomme, L; Chang, YH; Edelhoff, M; Yucel, M; Martins, CD; Burgmeier, A; ",Measurement of the W+ W-and ZZ production cross sections in pp collisions at root s= 8 TeV,"Physics letters B: nuclear, elementary particle and high-energy physics",,,,2013,Elsevier
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Search for top-squark pairs decaying into Higgs or Z bosons in pp collisions at√ s= 8 TeV,,,,,2014,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Measurement of differential tt¯ production cross sections in the full kinematic range using lepton+ jets events from proton-proton collisions at s= 13 TeV,Physical Review D,104,9,092013,2021,American Physical Society
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for top squark pair production in compressed-mass-spectrum scenarios in proton-proton collisions at s= 8 TeV using the αT variable,,,,,2017,
"Forthomme, L; Giammanco, A; Hollar, J; Lemaitre, V; Liao, J; Militaru, O; Nuttens, C; Pagano, D; Pin, A; Piotrzkowski, K; ",Measurement of the t (t) over-bar production cross section in the dilepton channel in pp collisions at root s= 7 TeV,,,,,2012,
"Sirunyan, Albert M; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; Flechl, M; ","Erratum to: Study of dijet events with a large rapidity gap between the two leading jets in pp collisions at $$\sqrt {s}= 7\,\text {Te}\text {V} $$",The European Physical Journal C,80,5,1-15,2020,Springer Berlin Heidelberg
"CMS collaboration; ",Measurements of the associated production of a W boson and a charm quark in proton-proton collisions at $\sqrt {s}= $8 TeV,arXiv preprint arXiv:2112.00895,,,,2021,
"Tumasyan, Armen; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Lindsey, Cole; Ujvari, Balazs; Muthumuni, Samila; Polatoz, Ayse; ",Springer: Search for heavy resonances decaying to a pair of Lorentz-boosted Higgs bosons in final states with leptons and a bottom quark pair at $\sqrt {s} $= 13 TeV,JHEP,2205,CMS-B2G-20-007,005,2021,
"Krätschmer, I; Kirschenmann, H; Reichelt, O; Schütze, P; Steinbrück, G; Gutsche, O; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; ",Precision measurement of the structure of the CMS inner tracking system using nuclear interactions,,,,,2018,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; ",Search for a right-handed W boson and a heavy neutrino in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2022,4,1-43,2022,Springer Berlin Heidelberg
"Choudhury, S; Heinrich, M; Meneguzzo, AT; Mesyats, G; Stieger, B; Squires, M; Dorney, B; Hu, Z; Chatrchyan, S; Couderc, F; ",Measurement of the W+ W-and ZZ production cross sections in pp collisions at root s= 8 TeV,PHYSICS LETTERS B,721,4-5,190-211,2013,Elsevier Science Bv
"Khachatryan, Vardan; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Jez, Pavel; Ujvari, Balazs; Bein, Samuel; Ozturk, Sertac; ",Measurement of the differential cross section and charge asymmetry for inclusive pp $\mathrm {\to W^\pm+ X} $ production at $\mathrm {\sqrt s= 8 TeV} $,,,,,2016,LHC/CMS Experiment
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Measurement of W±γ differential cross sections in proton-proton collisions at s= 13 TeV and effective field theory constraints,Physical Review D,105,5,052003,2022,American Physical Society
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Search for new physics in the lepton plus missing transverse momentum final state in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2022,7,1-57,2022,Springer Berlin Heidelberg
"Baarmand, Marc M; Dorney, B; Hohlmann, Marcus; Kalakhety, H; Vodopiyanov, Igor B; Wolfgang, Adam; Tumasyan, AR; Sirunyan, AM; Khachatryan, Vardan; Chatrchyan, SA; ",Azimuthal anisotropy of charged particles at high transverse momenta in Pb-Pb collisions at√ s NN= 2.76 TeV,,,,,2012,
"Ganjour, S; Nurnberg, A; Biasini, M; Leonidov, A; Giordano, F; Varelas, N; Roberts, J; Chatrchyan, S; Givernaud, A; Oberst, O; ",Measurements of differential jet cross sections in proton-proton collisions at root s= 7 TeV with the CMS detector,Physical Review D,87,11,,2013,AMER PHYSICAL SOC
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for new physics in the multijet and missing transverse momentum final state in proton-proton collisions at√ s= 7TeV,,,,,2012,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Identification techniques for highly boosted W bosons that decay into hadrons,,,,,2014,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for two Higgs bosons in final states containing two photons and two bottom quarks in proton-proton collisions at 8 TeV SEARCH for TWO HIGGS BOSONS in FINAL STATES... V. KHACHATRYAN et al.,,,,,2016,
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Search for neutral resonances decaying into a Z boson and a pair of b jets or τ leptons,,,,,2016,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for a light pseudoscalar Higgs boson in the dimuon decay channel in pp collisions at√ s= 7TeV,,,,,2012,
"CMS Collaboration; ",S. Chatrchyan et al. Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,arXiv preprint arXiv:1207.7235,2,,,,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Del Valle, A Escalante; Fruehwirth, Rudolf; Jeitler, Manfred; ",Evidence for WW/WZ vector boson scattering in the decay channel ℓνqq produced in association with two jets in proton-proton collisions at s= 13 TeV,Physics Letters B,834,,137438,2022,North-Holland
"Adolph, C; Alekseev, MG; Alexakhin, V Yu; Alexandrov, Yu; Alexeev, GD; Amoroso, A; Antonov, AA; Austregesilo, A; Badełek, B; Balestra, F; ",II–Experimental investigation of transverse spin asymmetries in μ-p SIDIS processes: Sivers asymmetries,Physics Letters B,717,4-5,383-389,2012,North-Holland
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; ",Search for resonant production of strongly coupled dark matter in proton-proton collisions at 13 TeV,Journal of High Energy Physics,2022,6,1-51,2022,Springer Berlin Heidelberg
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Search for long-lived particles decaying into muon pairs in proton-proton collisions at $$\sqrt {s} $$= 13 TeV collected with a dedicated high-rate data stream,Journal of High Energy Physics,2022,4,1-45,2022,Springer Berlin Heidelberg
"Caudron, A; De Visscher, S; Delaere, C; Delcourt, M; Francois, B; Giammanco, A; Jafari, A; Komm, M; Krintiras, G; Lemaitre, V; ",Measurements of jet charge with dijet events in pp collisions at root s= 8 TeV,,,,,2017,
"Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; Lechner, Lukas; ",Fragmentation of jets containing a prompt J/ψ meson in PbPb and pp collisions at sNN= 5.02 TeV,Physics Letters B,825,,136842,2022,North-Holland
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Del Valle, A Escalante; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Probing charm quark dynamics via multiparticle correlations in Pb-Pb collisions at s NN= 5.02 TeV,Physical review letters,129,2,022001,2022,American Physical Society
"Denegri, D; Pardo, PL; Torassa, E; Dudko, L; Weber, HA; Hauser, J; Adams, MR; Kress, M; Chatrchyan, S; Fabbro, B; ",Measurement of the X (3872) production cross section via decays to J/psi pi (+) pi (-) in pp collisions at root s= 7 TeV,JOURNAL OF HIGH ENERGY PHYSICS,,4,,2013,Springer
"Tuominen, E; Guthoff, M; Lista, L; Oreshkin, V; Nageli, C; Miceli, T; Weinberg, M; Jha, M; Chatrchyan, S; Tuominiemi, J; ",Search for Top Squark and Higgsino Production Using Diphoton Higgs Boson Decays,Physical Review Letters,112,16,,2014,AMER PHYSICAL SOC
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Asilar, E; Bergauer, T; ",Search for supersymmetry with Higgs boson to diphoton decays using the razor variables at s= 13TeV,,,,,2018,
"Thom, J; Kress, M; Hu, Z; Rahatlou, S; Adam, N; Stoye, M; Barker, A; Miller, DH; Cole, JE; Kalakhety, H; ",Measurement of the cross section for production of b (b) over-barX decaying to muons in pp collisions at root s= 7TeV,,,,,2012,Journal of High Energy Physics
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Asilar, E; Bergauer, T; ",Evidence for the Higgs boson decay to a bottom quark–antiquark pair,,,,,2018,
"Masod, R; Gonzalez, D; Tosi, N; Carpinteyro, S; Martelli, A; Kyberd, P; Uplegger, L; Brinkerhoff, A; Khachatryan, V; Radi, A; ",Search for third-generation scalar leptoquarks in the t tau channel in proton-proton collisions at root s= 8 TeV,JOURNAL OF HIGH ENERGY PHYSICS,,7,,2015,SPRINGER
"Dejardin, M; Frensch, F; Gozzelino, A; Tlisov, D; De Cosa, A; Andrews, W; Martin, C; Panwalkar, S; Khachatryan, V; Denegri, D; ",Measurement of top quark-antiquark pair production in association with a W or Z boson in pp collisions at root s= 8 TeV,EUROPEAN PHYSICAL JOURNAL C,74,9,,2014,SPRINGER
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; ",Search for a W'or Techni-ρ decaying into WZ in pp collisions at√ s= 7TeV,,,,,2012,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Search for high-mass resonances decaying into τ-lepton pairs in pp collisions at√ s= 7TeV,,,,,2012,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Measurement of associated production of vector bosons and top quark-antiquark pairs in pp collisions at√ s= 7 TeV,,,,,2013,
"CMS collaboration; ",Observation of the B $ _\mathrm {c}^+ $ meson in PbPb and pp collisions at $\sqrt {s_ {\mathrm {NN}}}= $5.02 TeV and measurement of its nuclear modification factor,arXiv preprint arXiv:2201.02659,,,,2022,
"Delaere, C; Delcourt, M; Francois, B; Giammanco, A; Krintiras, G; Lemaitre, V; Magitteri, A; Mertens, A; Musich, M; Piotrzkowski, K; ",Multiparticle correlations and higher order harmonics in pPb collisions at root s (NN)= 8.16 TeV,,,,,2019,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Search for long-lived particles that decay into final states containing two electrons or two muons in proton-proton collisions at s= 8TeV,,,,,2015,
"Bakhshiansohi, Hamed; Bondu, Olivier; Brochet, Sébastien; Bruno, Giacomo; Caputo, Claudio; David, Pieter; Delaere, Christophe; Delcourt, Martin; Giammanco, Andrea; Krintiras, Georgios; ",Combination of searches for Higgs boson pair production in proton-proton collisions at $\sqrt {s}= $13 TeV,Physical Review Letters,122,,121803,2019,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; ",Search for new resonances decaying via WZ to leptons in proton–proton collisions at s= 8TeV,,,,,2015,
"Krätschmer, I; Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; ",Search for anomalous production of events with three or more leptons in pp collisions at s= 8TeV,,,,,2014,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; ",Search for higgsinos decaying to two Higgs bosons and missing transverse momentum in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2022,5,1-65,2022,Springer Berlin Heidelberg
"Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Bergauer, T; Dragicevic, M; Ero, J; Del Valle, A Escalante; Flechl, M; Fruhwirth, R; ",Study of excited L0 b states decaying to L0 bp+ p in proton-proton collisions at ps= 13 TeV the CMS Collaboration,,,,,,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; Fruehwirth, Rudolf; ",Evidence for X (3872) in Pb-Pb collisions and studies of its prompt production at s NN= 5.02 TeV,Physical review letters,128,3,032001,2022,American Physical Society
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Escalante Del Valle, Alberto; Fruehwirth, Rudolf; Jeitler, Manfred; ",Search for long-lived heavy neutral leptons with displaced vertices in proton-proton collisions at $$\sqrt {\mathrm {s}} $$= 13 TeV,Journal of High Energy Physics,2022,7,1-56,2022,Springer Berlin Heidelberg
"Fernández Menéndez, Javier; Folgueras Gómez, Santiago; González Caballero, Isidro; Lloret Iglesias, Lara; Vizán García, Jesús Manuel; CMS Collaboration; ",Search for Supersymmetry in pp Collisions at√ s= 7 TeV in Events with Two Photons and Missing Transverse Energy,Physical Review Letters,,,,2011,American Physical Society
"Krätschmer, I; Steinbrück, G; Kirschenmann, H; Gutsche, O; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; ",Measurements of differential production cross sections for a Z boson in association with jets in pp isions at√ s= 8 TeV,,,,,2017,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Dragicevic, Marko; Del Valle, A Escalante; Fruehwirth, Rudolf; Jeitler, Manfred; Krammer, Natascha; ",Precision measurement of the W boson decay branching fractions in proton-proton collisions at s= 13 TeV,Physical Review D,105,7,072008,2022,American Physical Society
"CMS collaboration; ",Search for a non-standard-model Higgs boson decaying to a pair of new light bosons in four-muon final states,arXiv preprint arXiv:1210.7619,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for the standard model Higgs boson in the H→ ZZ→ 2ℓ2ν channel in pp collisions at $\sqrt {\text {s}}={7}\;{\text {TeV}} $,Journal of High Energy Physics,2012,3,1-32,2012,Springer-Verlag
"Delaere, C; Delcourt, M; Francois, B; Giammanco, A; Krintiras, G; Lemaitre, V; Magitteri, A; Mertens, A; Musich, M; Piotrzkowski, K; ",Beyond nPDFs effects: Prompt J/psi and psi (2S) production in pPb and pp collisions,,,,,2019,
"CMS collaboration; ",Search for resonances decaying to three W bosons in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:2201.08476,,,,2022,
"Tumasyan, Armen; ",Identification of hadronic tau lepton decays using a deep neural network,,,,,2022,
"CMS collaboration; ",Search for resonances in the mass spectrum of muon pairs produced in association with b quark jets in proton-proton collisions at $\sqrt {s}= $8 and 13 TeV,arXiv preprint arXiv:1808.01890,,,,2018,
"Kirschenmann, H; Steinbrück, G; Zeise, M; Gutsche, O; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; ",Measurement of the charge asymmetry in top-quark pair production in proton-proton collisions at√ s= 7 TeV,,,,,2012,
"Tumasyan, Armen; Adam, Wolfgang; Andrejkovic, Janik Walter; Bergauer, Thomas; Chatterjee, Suman; Damanakis, Konstantinos; Dragicevic, Marko; Del Valle, A Escalante; Fruehwirth, Rudolf; Jeitler, Manfred; ",Search for invisible decays of the Higgs boson produced via vector boson fusion in proton-proton collisions at s= 13 TeV,Physical Review D,105,9,092007,2022,American Physical Society
